"","crime_day","temp","wdsp","NUM_CRIMES"
"217",2,68.4,7.6,0.732984293193717
"218",3,67.6,9.8,0.68848167539267
"219",4,69.5,7.9,0.777486910994764
"220",5,70.2,13.1,0.719895287958115
"221",6,69.9,14.8,0.892670157068063
"222",7,69.6,12.1,0.808900523560209
"223",1,69.4,12.1,0.861256544502618
"224",2,65.6,15.1,0.56020942408377
"225",3,67.5,9.7,0.816753926701571
"226",4,64.4,9.9,0.657068062827225
"227",5,65.7,7.6,0.829842931937173
"228",6,72,11.4,0.808900523560209
"229",7,68.6,10.9,0.827225130890052
"230",1,66.3,8.9,0.706806282722513
"231",2,76,14.8,0.602094240837696
"232",3,76.4,9.4,0.75130890052356
"233",4,74.5,9.7,0.604712041884817
"234",5,74.7,8.9,0.709424083769634
"235",6,72.5,7.5,0.722513089005236
"236",7,72.6,9.5,0.81413612565445
"237",1,75.1,11.5,0.607329842931937
"238",2,73.8,7,0.675392670157068
"239",3,70.2,6.5,0.620418848167539
"240",4,68.3,11.9,0.50261780104712
"241",5,72.8,14.7,0.887434554973822
"242",6,76,19.1,0.842931937172775
"243",7,75.3,10.1,0.746073298429319
"245",2,72.9,8.6,0.662303664921466
"246",3,73.2,6.7,0.463350785340314
"247",4,74.7,18.5,0.534031413612565
"248",5,77.9,18.6,0.780104712041885
"249",6,64.4,12.6,0.704188481675393
"250",7,67.2,7.1,0.727748691099476
"251",1,68.3,8.6,0.366492146596859
"252",2,69.7,11.5,0.633507853403141
"253",3,71.6,18.9,0.421465968586387
"254",4,53.4,16.9,0.523560209424084
"255",5,53.4,17,0.452879581151832
"256",6,47.2,15,0.363874345549738
"257",7,56.1,6.9,0.56020942408377
"258",1,59.5,9,0.505235602094241
"259",2,55.4,9.7,0.531413612565445
"260",3,59.5,8,0.654450261780105
"261",4,60.6,7.7,0.840314136125654
"262",5,62.7,13.6,0.869109947643979
"263",6,68,19.1,0.785340314136126
"264",7,64.2,18.5,0.641361256544503
"265",1,55.2,13.6,0.583769633507853
"266",4,64.1,7.1,0.539267015706806
"267",5,63.8,5.5,0.871727748691099
"268",6,64.1,4.7,0.903141361256545
"269",7,63.1,4,0.761780104712042
"270",1,67.3,3.6,0.667539267015707
"271",2,54.1,18.3,0.620418848167539
"273",4,64.9,12.5,0.680628272251309
"274",5,60.3,19.2,0.617801047120419
"275",6,43.9,22.2,0.463350785340314
"276",7,47.6,16.8,0.447643979057592
"277",1,54.5,14.4,0.463350785340314
"278",2,57.1,17.9,0.557591623036649
"279",3,57.1,15.8,0.526178010471204
"280",4,55.1,11.2,0.366492146596859
"281",5,53.7,6.4,0.510471204188482
"282",6,53.1,8.9,0.667539267015707
"283",7,54,14.6,0.382198952879581
"284",1,59.2,11.4,0.416230366492147
"285",2,61.7,15.5,0.481675392670157
"286",3,53.8,17,0.594240837696335
"287",4,54,12.6,0.523560209424084
"288",5,56.1,18.3,0.840314136125654
"289",6,49.6,20.3,0.761780104712042
