"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,22.7,14.3,0.413612565445026
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,33.6,13.9,0.712041884816754
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,40.8,14.9,0.565445026178011
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,34.7,13.4,0.620418848167539
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,34.9,10.7,0.670157068062827
"76",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,40.8,15.8,0.505235602094241
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,25,15.3,0.269633507853403
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,24.2,7.6,0.397905759162304
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,27.1,16,0.408376963350785
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,25.2,11.3,0.468586387434555
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,38.2,26.2,0.452879581151832
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,41.8,20.7,0.628272251308901
"83",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,32.4,15.2,0.589005235602094
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,35.2,9.2,0.5
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,48.7,18.6,0.5
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,44.7,25.1,1
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,38.3,14.2,0.468586387434555
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,35.5,17.2,0.445026178010471
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,38.5,19,0.693717277486911
"90",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,36,14,0.539267015706806
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,41.2,12,0.426701570680628
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,39.3,7.9,0.565445026178011
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,44,8.2,0.534031413612565
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,43.8,6.2,0.602094240837696
